Cell Line Name,Small Molecule Name,Drug Concentration (uM),Time Point (hr),Mean Relative Viability,Mean Apoptosis Fraction
RVH-421,AZ-628,0.0316,24,1.0475,0.0461
RVH-421,AZ-628,0.0316,48,0.8101,0.0555
RVH-421,AZ-628,0.0316,72,0.7409,0.038
RVH-421,AZ-628,0.1,24,1.058,0.0493
RVH-421,AZ-628,0.1,48,0.6665,0.0583
RVH-421,AZ-628,0.1,72,0.5796,0.0442
RVH-421,AZ-628,0.316,24,1.0218,0.0559
RVH-421,AZ-628,0.316,48,0.6964,0.0645
RVH-421,AZ-628,0.316,72,0.5366,0.0517
RVH-421,AZ-628,1,24,0.9929,0.0518
RVH-421,AZ-628,1,48,0.6501,0.0779
RVH-421,AZ-628,1,72,0.4702,0.105
RVH-421,AZ-628,3.16,24,0.9083,0.0578
RVH-421,AZ-628,3.16,48,0.5441,0.1082
RVH-421,AZ-628,3.16,72,0.4118,0.1648
RVH-421,Selumetinib,0.0032,24,0.9752,0.0531
RVH-421,Selumetinib,0.0032,48,1.0391,0.0489
RVH-421,Selumetinib,0.0032,72,1.0141,0.0328
RVH-421,Selumetinib,0.01,24,0.9947,0.0501
RVH-421,Selumetinib,0.01,48,0.8836,0.0601
RVH-421,Selumetinib,0.01,72,0.9881,0.0321
RVH-421,Selumetinib,0.0316,24,1.032,0.0442
RVH-421,Selumetinib,0.0316,48,0.7947,0.0622
RVH-421,Selumetinib,0.0316,72,0.8489,0.0318
RVH-421,Selumetinib,0.1,24,1.0323,0.0496
RVH-421,Selumetinib,0.1,48,0.7209,0.0642
RVH-421,Selumetinib,0.1,72,0.6575,0.0418
RVH-421,Selumetinib,0.316,24,1.0935,0.0515
RVH-421,Selumetinib,0.316,48,0.6591,0.0635
RVH-421,Selumetinib,0.316,72,0.5657,0.0438
RVH-421,Selumetinib,1,24,1.0164,0.0523
RVH-421,Selumetinib,1,48,0.6582,0.0671
RVH-421,Selumetinib,1,72,0.5114,0.0599
RVH-421,Selumetinib,3.16,24,0.9195,0.0612
RVH-421,Selumetinib,3.16,48,0.5932,0.0755
RVH-421,Selumetinib,3.16,72,0.4879,0.0977
RVH-421,Vemurafenib,0.0032,24,0.8497,0.0494
RVH-421,Vemurafenib,0.0032,48,1.0224,0.0497
RVH-421,Vemurafenib,0.0032,72,0.9572,0.0342
RVH-421,Vemurafenib,0.01,24,0.9365,0.0545
RVH-421,Vemurafenib,0.01,48,0.9068,0.0508
RVH-421,Vemurafenib,0.01,72,1.0156,0.0343
RVH-421,Vemurafenib,0.0316,24,0.9933,0.0463
RVH-421,Vemurafenib,0.0316,48,0.9319,0.0538
RVH-421,Vemurafenib,0.0316,72,0.9594,0.0341
RVH-421,Vemurafenib,0.1,24,1.0016,0.0489
RVH-421,Vemurafenib,0.1,48,0.8875,0.0604
RVH-421,Vemurafenib,0.1,72,0.9093,0.0335
RVH-421,Vemurafenib,0.316,24,1.0663,0.0609
RVH-421,Vemurafenib,0.316,48,0.778,0.0622
RVH-421,Vemurafenib,0.316,72,0.6742,0.0444
RVH-421,Vemurafenib,1,24,1.0363,0.0547
RVH-421,Vemurafenib,1,48,0.6843,0.0737
RVH-421,Vemurafenib,1,72,0.5393,0.0453
RVH-421,Vemurafenib,3.16,24,0.8229,0.0664
RVH-421,Vemurafenib,3.16,48,0.5028,0.0864
RVH-421,Vemurafenib,3.16,72,0.4525,0.0682
RVH-421,,0,24,,
RVH-421,,0,24,,
RVH-421,,0,24,,
RVH-421,,0,24,,
RVH-421,,0,24,,
RVH-421,,0,24,,
RVH-421,,0,24,,
RVH-421,,0,48,,
RVH-421,,0,48,,
RVH-421,,0,48,,
RVH-421,,0,48,,
RVH-421,,0,48,,
RVH-421,,0,48,,
RVH-421,,0,48,,
RVH-421,,0,72,,
RVH-421,,0,72,,
RVH-421,,0,72,,
RVH-421,,0,72,,
RVH-421,,0,72,,
RVH-421,,0,72,,
RVH-421,,0,72,,
WM-115,SB590885,0.0032,24,1.0581,0.0434
WM-115,SB590885,0.0032,48,1.3136,0.047
WM-115,SB590885,0.0032,72,1.0272,0.0298
WM-115,SB590885,0.01,24,1.334,0.0337
WM-115,SB590885,0.01,48,1.4728,0.0376
WM-115,SB590885,0.01,72,1.0167,0.031
WM-115,SB590885,0.0316,24,1.3555,0.0512
WM-115,SB590885,0.0316,48,1.5379,0.0402
WM-115,SB590885,0.0316,72,0.8889,0.0346
WM-115,SB590885,0.1,24,1.3994,0.0473
WM-115,SB590885,0.1,48,1.4415,0.0491
WM-115,SB590885,0.1,72,0.7729,0.0452
WM-115,SB590885,0.316,24,1.3541,0.0461
WM-115,SB590885,0.316,48,1.4198,0.0688
WM-115,SB590885,0.316,72,0.6835,0.0689
WM-115,SB590885,1,24,1.1516,0.0874
WM-115,SB590885,1,48,0.9721,0.1007
WM-115,SB590885,1,72,0.5839,0.1444
WM-115,SB590885,3.16,24,1.2839,0.0958
WM-115,SB590885,3.16,48,0.6829,0.1306
WM-115,SB590885,3.16,72,0.5728,0.1576
WM-115,PLX-4720,0.0032,24,1.143,0.0488
WM-115,PLX-4720,0.0032,48,1.2547,0.0421
WM-115,PLX-4720,0.0032,72,1.0082,0.0312
WM-115,PLX-4720,0.01,24,1.3923,0.0373
WM-115,PLX-4720,0.01,48,1.3673,0.0454
WM-115,PLX-4720,0.01,72,1.0304,0.0316
WM-115,PLX-4720,0.0316,24,1.4863,0.0513
WM-115,PLX-4720,0.0316,48,1.3188,0.0356
WM-115,PLX-4720,0.0316,72,1.0335,0.0268
WM-115,PLX-4720,0.1,24,1.4443,0.0369
WM-115,PLX-4720,0.1,48,1.8266,0.0312
WM-115,PLX-4720,0.1,72,1.0603,0.0303
WM-115,PLX-4720,0.316,24,1.5833,0.0371
WM-115,PLX-4720,0.316,48,1.6676,0.0333
WM-115,PLX-4720,0.316,72,0.8596,0.0415
WM-115,PLX-4720,1,24,1.0218,0.0643
WM-115,PLX-4720,1,48,1.2446,0.0466
WM-115,PLX-4720,1,72,0.5943,0.1294
WM-115,PLX-4720,3.16,24,1.1378,0.0673
WM-115,PLX-4720,3.16,48,0.7919,0.1219
WM-115,PLX-4720,3.16,72,0.3017,0.3812
WM-115,AZ-628,0.0032,24,1.1922,0.0464
WM-115,AZ-628,0.0032,48,1.0559,0.0302
WM-115,AZ-628,0.0032,72,1.0291,0.0295
WM-115,AZ-628,0.01,24,1.4692,0.0415
WM-115,AZ-628,0.01,48,1.1906,0.0498
WM-115,AZ-628,0.01,72,1.0383,0.0285
WM-115,AZ-628,0.0316,24,1.5054,0.0535
WM-115,AZ-628,0.0316,48,1.4692,0.0357
WM-115,AZ-628,0.0316,72,0.8013,0.0418
WM-115,AZ-628,0.1,24,1.5307,0.0496
WM-115,AZ-628,0.1,48,1.3072,0.0517
WM-115,AZ-628,0.1,72,0.5938,0.1586
WM-115,AZ-628,0.316,24,1.3651,0.0725
WM-115,AZ-628,0.316,48,1.1139,0.1394
WM-115,AZ-628,0.316,72,0.2813,0.4195
WM-115,AZ-628,1,24,0.8699,0.1346
WM-115,AZ-628,1,48,0.6582,0.3114
WM-115,AZ-628,1,72,0.1723,0.6442
WM-115,AZ-628,3.16,24,0.9459,0.2024
WM-115,AZ-628,3.16,48,0.424,0.3788
WM-115,AZ-628,3.16,72,0.0874,0.8202
WM-115,Selumetinib,0.0032,24,1.0647,0.0496
WM-115,Selumetinib,0.0032,48,1.0175,0.0459
WM-115,Selumetinib,0.0032,72,1.0349,0.0278
WM-115,Selumetinib,0.01,24,1.2724,0.0509
WM-115,Selumetinib,0.01,48,1.387,0.0343
WM-115,Selumetinib,0.01,72,1.0695,0.027
WM-115,Selumetinib,0.0316,24,1.3579,0.0515
WM-115,Selumetinib,0.0316,48,1.3728,0.0345
WM-115,Selumetinib,0.0316,72,0.9176,0.0324
WM-115,Selumetinib,0.1,24,1.2715,0.0423
WM-115,Selumetinib,0.1,48,1.4793,0.0394
WM-115,Selumetinib,0.1,72,0.7512,0.0559
WM-115,Selumetinib,0.316,24,1.4625,0.0578
WM-115,Selumetinib,0.316,48,1.2396,0.072
WM-115,Selumetinib,0.316,72,0.5866,0.1146
WM-115,Selumetinib,1,24,0.89,0.102
WM-115,Selumetinib,1,48,0.8227,0.1858
WM-115,Selumetinib,1,72,0.4086,0.3021
WM-115,Selumetinib,3.16,24,0.7277,0.1433
WM-115,Selumetinib,3.16,48,0.592,0.2687
WM-115,Selumetinib,3.16,72,0.2872,0.4564
WM-115,Vemurafenib,0.0032,24,1.1746,0.0555
WM-115,Vemurafenib,0.0032,48,1.0448,0.0621
WM-115,Vemurafenib,0.0032,72,0.9531,0.0323
WM-115,Vemurafenib,0.01,24,1.2046,0.0451
WM-115,Vemurafenib,0.01,48,1.2411,0.0504
WM-115,Vemurafenib,0.01,72,1.0364,0.0325
WM-115,Vemurafenib,0.0316,24,1.2214,0.0561
WM-115,Vemurafenib,0.0316,48,1.2406,0.0424
WM-115,Vemurafenib,0.0316,72,1.0495,0.0317
WM-115,Vemurafenib,0.1,24,1.1793,0.0385
WM-115,Vemurafenib,0.1,48,1.4521,0.0407
WM-115,Vemurafenib,0.1,72,1.071,0.0278
WM-115,Vemurafenib,0.316,24,1.1741,0.0444
WM-115,Vemurafenib,0.316,48,1.7297,0.0303
WM-115,Vemurafenib,0.316,72,0.8551,0.0361
WM-115,Vemurafenib,1,24,1.2242,0.0572
WM-115,Vemurafenib,1,48,1.3138,0.045
WM-115,Vemurafenib,1,72,0.5711,0.1251
WM-115,Vemurafenib,3.16,24,1.2381,0.0792
WM-115,Vemurafenib,3.16,48,0.8843,0.1161
WM-115,Vemurafenib,3.16,72,0.2696,0.4066
WM-115,,0,24,,
WM-115,,0,24,,
WM-115,,0,24,,
WM-115,,0,24,,
WM-115,,0,24,,
WM-115,,0,24,,
WM-115,,0,24,,
WM-115,,0,48,,
WM-115,,0,48,,
WM-115,,0,48,,
WM-115,,0,48,,
WM-115,,0,48,,
WM-115,,0,48,,
WM-115,,0,48,,
WM-115,,0,72,,
WM-115,,0,72,,
WM-115,,0,72,,
WM-115,,0,72,,
WM-115,,0,72,,
WM-115,,0,72,,
WM-115,,0,72,,
WM1552C,SB590885,0.0032,24,0.999,0.059
WM1552C,SB590885,0.0032,48,1.0114,0.075
WM1552C,SB590885,0.0032,72,1.0327,0.0862
WM1552C,SB590885,0.01,24,1.0365,0.058
WM1552C,SB590885,0.01,48,1.0051,0.0725
WM1552C,SB590885,0.01,72,1.1617,0.0741
WM1552C,SB590885,0.0316,24,0.9862,0.0561
WM1552C,SB590885,0.0316,48,0.9943,0.0713
WM1552C,SB590885,0.0316,72,1.1453,0.0679
WM1552C,SB590885,0.1,24,1.0826,0.0693
WM1552C,SB590885,0.1,48,0.994,0.067
WM1552C,SB590885,0.1,72,1.0281,0.0654
WM1552C,SB590885,0.316,24,1.0313,0.0643
WM1552C,SB590885,0.316,48,0.9542,0.0576
WM1552C,SB590885,0.316,72,0.899,0.0685
WM1552C,SB590885,1,24,1.0876,0.0626
WM1552C,SB590885,1,48,0.8699,0.0631
WM1552C,SB590885,1,72,0.6994,0.0776
WM1552C,SB590885,3.16,24,1.0477,0.0608
WM1552C,SB590885,3.16,48,0.8203,0.0655
WM1552C,SB590885,3.16,72,0.6158,0.1127
WM1552C,PLX-4720,0.0032,24,1.0243,0.0609
WM1552C,PLX-4720,0.0032,48,0.9756,0.0618
WM1552C,PLX-4720,0.0032,72,1.0391,0.0768
WM1552C,PLX-4720,0.01,24,1.0451,0.0582
WM1552C,PLX-4720,0.01,48,0.9938,0.0656
WM1552C,PLX-4720,0.01,72,1.1289,0.0708
WM1552C,PLX-4720,0.0316,24,1.0309,0.0522
WM1552C,PLX-4720,0.0316,48,1.0128,0.0655
WM1552C,PLX-4720,0.0316,72,1.1291,0.0682
WM1552C,PLX-4720,0.1,24,1.083,0.0708
WM1552C,PLX-4720,0.1,48,0.9768,0.0534
WM1552C,PLX-4720,0.1,72,1.0334,0.063
WM1552C,PLX-4720,0.316,24,1.0175,0.0728
WM1552C,PLX-4720,0.316,48,0.8386,0.044
WM1552C,PLX-4720,0.316,72,0.8305,0.0671
WM1552C,PLX-4720,1,24,1.0644,0.0756
WM1552C,PLX-4720,1,48,0.7954,0.0563
WM1552C,PLX-4720,1,72,0.5758,0.0953
WM1552C,PLX-4720,3.16,24,0.9942,0.0738
WM1552C,PLX-4720,3.16,48,0.7234,0.0762
WM1552C,PLX-4720,3.16,72,0.4966,0.1295
